decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
40pct,layout_x_side,L3/left,6,0.16666666666666666,0.11666666666666665,0.3333333333333333,0.8333333333333334,0.10038630290577809
40pct,layout_x_side,L3/right,6,0.5,0.45,0.0,0.5,0.06801417320345839
40pct,layout_x_blue_side,L1/left,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.05432706554730734
40pct,layout_x_blue_side,L1/right,6,0.16666666666666666,0.15,0.3333333333333333,0.3333333333333333,0.020112410361568137
40pct,layout_x_blue_side,L3/left,6,0.5,0.45,0.0,1.0,0.14543808301910757
40pct,layout_x_blue_side,L3/right,6,0.16666666666666666,0.11666666666666665,0.3333333333333333,0.3333333333333333,0.022962393090128902
40pct,condition_x_side,C0/left,4,0.25,0.225,0.25,0.75,0.07995708204805851
40pct,condition_x_side,C0/right,4,0.25,0.3,0.25,0.25,0.05914948904886842
40pct,condition_x_side,C1/left,4,0.0,0.025,0.5,1.0,0.05773317955434322
40pct,condition_x_side,C1/right,4,0.5,0.425,0.0,0.5,0.0463545810058713
40pct,condition_x_side,C2/left,4,0.25,0.15,0.25,0.75,0.06234459040686488
40pct,condition_x_side,C2/right,4,0.5,0.45,0.0,0.5,0.058721005963161585
40pct,condition_x_target_color,C0/blue,4,0.0,0.0,0.0,0.5,0.11989184515550733
40pct,condition_x_target_color,C0/red,4,0.5,0.525,0.5,0.5,0.019214725941419604
40pct,condition_x_target_color,C1/blue,4,0.0,0.0,0.0,0.5,0.12377541366964578
40pct,condition_x_target_color,C1/red,4,0.5,0.45,0.5,1.0,-0.019687653109431266
40pct,condition_x_target_color,C2/blue,4,0.0,0.0,0.0,0.5,0.10440670780837537
40pct,condition_x_target_color,C2/red,4,0.75,0.6,0.25,0.75,0.016658888561651104
100pct,overall,all,24,0.7083333333333334,0.6666666666666666,0.2916666666666667,0.625,0.07752826999252041
100pct,target_color,blue,12,0.5,0.4583333333333333,0.5,0.6666666666666666,0.020489472833772494
100pct,target_color,red,12,0.9166666666666666,0.875,0.08333333333333333,0.5833333333333334,0.13456706715126832
100pct,target_side,left,12,0.5833333333333334,0.5,0.25,0.4166666666666667,0.06862339451909065
100pct,target_side,right,12,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.08643314546595017
100pct,layout,L1,12,0.75,0.7000000000000001,0.4166666666666667,0.5833333333333334,0.025717745224634807
100pct,layout,L3,12,0.6666666666666666,0.6333333333333333,0.16666666666666666,0.6666666666666666,0.129338794760406
100pct,blue_side,left,12,0.6666666666666666,0.625,0.16666666666666666,0.8333333333333334,0.15908801332116126
100pct,blue_side,right,12,0.75,0.7083333333333334,0.4166666666666667,0.4166666666666667,-0.0040314733361204455
100pct,condition,C0,8,0.625,0.5625,0.125,0.375,0.12930916156619787
100pct,condition,C1,8,0.625,0.575,0.375,0.875,0.06332029132172462
100pct,condition,C2,8,0.875,0.8625,0.375,0.625,0.03995535708963871
100pct,target_color_x_side,blue/left,6,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.09314434068898358
100pct,target_color_x_side,blue/right,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.0521653950214386
100pct,target_color_x_side,red/left,6,0.8333333333333334,0.75,0.16666666666666666,0.16666666666666666,0.04410244834919771
100pct,target_color_x_side,red/right,6,1.0,1.0,0.0,1.0,0.22503168595333892
100pct,layout_x_side,L1/left,6,0.6666666666666666,0.5666666666666667,0.5,0.3333333333333333,0.004269969711701078
